code,name,description,school_code,places_for_work
car_soc_0001,គ្រូមត្តេយ្យ,គ្រូត្រូវង្រៀនកុមារអាយុក្រោម ៦ឆ្នាំ។ មានតួនាទីបង្រៀនកុមារឲ្យមានអនាម័យ ប្រើភាសាក្នុងការនិយាយស្ដី ជាមនុស្សចេះអត់ធន់ និងមានចិត្តស្រឡាញ់កុមារ។ គ្រូមត្តេយ្យតម្រូវឲ្យប្រលងជាប់បាក់ឌុប និងដាក់ពាក្យប្រលងគ្រូមត្តេយ្យសិក្សា។ ករណីប្រឡងជាប់គ្រូកម្រិតមតេយ្យសិក្សា គាត់ត្រូវទទួលការបណ្តុះបណ្តាលរយៈពេល ២ឆ្នាំសាលាគរុកោសល្យ មត្តេយ្យមជ្ឈឹម ទីក្រុងភ្នំពេញ ដើម្បីក្លាយជាគ្រូប្រកបដោយវិជ្ជាជីវៈ និងមនសិកាគ្រូបង្រៀន ។,សាលាគរុកោសល្យ មត្តេយ្យមជ្ឈឹម(គ្រូមត្តេយ្យ),សាលារដ្ឋ សាលាឯកជន ក្រសួង មន្ទីរ
car_soc_0002,គ្រូបឋមសិក្សា,គ្រូបឋមសិក្សាត្រូវបង្រៀនកុមារចាប់ពីអាយុ ៦ឆ្នាំដល់អាយុ១២​ឆ្នាំ (ថ្នាក់ទី១-៦)។ គ្រូបឋមសិសក្សាត្រូមានចំណេះដឹងលើមុខវិជ្ជាដូចជា៖ គណិតវិទ្យា ប្រវត្តិវិទ្យា ភូមិវិទ្យា ភាសាខ្មែរ ឬភាសាបរទេស ជាដើម។ គ្រូបឋមសិសក្សាត្រូវបង្រៀន ៤ម៉ោងក្នុងមួយថ្ងៃ និងចំណាយពេលផ្សេងទៀត ក្នុងការធ្វើកិច្ចតែងការបង្រៀន ឬផលិតសម្ភារឧបទ្ទេស ជាមុន ដើម្បីធ្វើឲ្យការបង្រៀនមានប្រសិទ្ធិភាព ។​ គ្រូមបឋមសិក្សាតម្រូវឲ្យប្រលងជាប់បាក់ឌុប និងដាក់ពាក្យប្រលងគ្រូបឋមសិក្សា។ ករណីប្រឡងជាប់គ្រូកម្រិតបឋមសិក្សា គាត់ ត្រូវទទួលការបណ្តុះបណ្តាលរយៈពេល ២ឆ្នាំ នៅសាលាគរុកោសល្យ និងវិក្រឹតការខេត្ត។,សាលាគរុកោសល្យ និងវិក្រឹតការខេត្ត(គ្រូបឋមសិក្សា),សាលារដ្ឋ សាលាឯកជន ក្រសួង មន្ទីរ
car_soc_0003,គ្រូមធ្យមសិក្សាបឋមភូមិ,គ្រូមធ្យមសិក្សាបឋមភូមិត្រូវបង្រៀនកុមារចាប់ពីអាយុ ១៣ឆ្នាំដល់អាយុ១៥​ឆ្នាំ (ថ្នាក់ទី៧-៩)។ គ្រូមធ្យមសិក្សាបឋមភូមិ ត្រូវបង្រៀន ទៅលើមុខវិជ្ជាឯកទេសរបស់ខ្លួន តាមម៉ោងកំណត់របស់សាលា ។ គ្រូបង្រៀនត្រូវមានភារកិច្ចធ្វើកិច្ចតែងការបង្រៀន ផលិតសម្ភារឧបទ្ទេស ស្រាវជ្រាវ និងបង្រៀនសិស្សប្រកបដោយក្រមសីលធម៌ និងវិជ្ជាជីវៈខ្ពស់ ។ គាត់ តម្រូវឲ្យប្រលងជាប់បាក់ឌុប និងដាក់ពាក្យប្រលងគ្រូមធ្យមសិក្សាបឋមភូមិ។ ករណីប្រឡងជាប់ធ្វើជាគ្រូបង្រៀន ។គាត់ ត្រូវទទួលការបណ្តុះបណ្តាលរយៈពេល ២ឆ្នាំ នៅមជ្ឈមណ្ឌលគរុកោសល្យភូមិភាគខេត្ត។,មជ្ឈមណ្ឌលគរុកោសល្យ ភូមិភាគខេត្ត(គ្រូមធ្យមសិក្សា),សាលារដ្ឋ សាលាឯកជន ក្រសួង មន្ទីរ
car_soc_0004,គ្រូមធ្យមសិក្សាទុតិយភូមិ,គ្រូមធ្យមសិក្សាទុតិយភូមិត្រូវបង្រៀនកុមារចាប់ពីអាយុ ១៦ឆ្នាំដល់អាយុ១៨​ឆ្នាំ (ថ្នាក់ទី១០-១២)។ គាត់/នាងតម្រូវឲ្យប្រលងជាប់បាក់ឌុប និងសិក្សាតាមសាកលវិទ្យាល័យនានារយៈពេល៤ឆ្នាំ បូកនឹង សិក្សានៅវិទ្យាស្ថានជាតិអប់រំ (NIE)រយៈពេល១ឆ្នាំទៀត។ គ្រូមធ្យមសិក្សាទុតិយភូមិ ត្រូវបង្រៀនមុខវិជ្ជាឯកទេសរបស់ខ្លួន តាមម៉ោងកំណត់របស់សាលា ។ គ្រូបង្រៀនត្រូវមានភារកិច្ចធ្វើកិច្ចតែងការបង្រៀន ផលិតសម្ភារឧបទ្ទេស ស្រាវជ្រាវ និងបង្រៀនសិស្សប្រកបដោយក្រមសីលធម៌ និងវិជ្ជាជីវៈខ្ពស់ ។ ,uni_gov_0001,សាលារដ្ឋ សាលាឯកជន ក្រសួង មន្ទីរ
,,,uni_gov_0011,
,,,uni_pri_0041,
,,,uni_gov_0004,
,,,uni_gov_0003,
,,,វិទ្យាស្ថានអប់រំ (NIE),
car_soc_0005,សាស្រ្តាចារ្យឧត្តមសិក្សា,សាស្រ្តាចារ្យឧត្តមសិក្សាបង្រៀននិស្សិតតាមបណ្តាសាកលវិទ្យាល័យនានា។ គាត់តម្រូវឲ្យមានសញ្ញាប័ត្រសមមូល ដូចជា​៖ កម្រិតបរិញ្ញា អនុបណ្ឌិត  ឬបណ្ឌិត ក្នុងប្រទេស ឬក្រៅប្រទេស។ គាត់ ត្រូវបង្រៀនមុខវិជ្ជាឯកទេសរបស់ខ្លួន តាមម៉ោងកំណត់របស់សាកលវិទ្យាល័យ ។ គាត់ត្រូវមានភារកិច្ចធ្វើកិច្ចតែងការបង្រៀន ផលិតសម្ភារឧបទ្ទេស ស្រាវជ្រាវ និងបង្រៀនសិស្សប្រកបដោយក្រមសីលធម៌ និងវិជ្ជាជីវៈខ្ពស់ និងមានចំណេះដឹងផ្នែក ភាសាអង់គ្លេស និងកុំព្យុទ័រ ។ ,វិទ្យាស្ថានជាតិអប់រំ NIE និង សាកលវិទ្យាល័យក្រៅប្រទេស,សាកលវិទ្យាល័យនានា អង្គការក្រៅរដ្ឋាភិបាល ក្រុមហ៊ុនឯកជន ឬស្ថាប័នរដ្ឋ
car_soc_0006,គ្រូឧទេសគរុកោសល្យ,គ្រូឧទ្ទេសគរុកោសល្យ បណ្តុុះបណ្តាលគរុសិស្សកំពុងសិក្សា នៅតាម សាលាគរុកោសល្យ និងវិក្រិតការខេត្ត ឬនៅតាម មជ្ឈមណ្ឌលគរុកោសល្យភូមិភាគខេត្ត ។ គាត់ បណ្តុះបណ្តាលពី គោលវិធីសាស្រ្តគរុកោសល្យ  ចិត្តវិទ្យា  និងតាមមុខវិជ្ជាតាមឯកទេស ។ គាត់ តម្រូវឲ្យមានសញ្ញាប័ត្រសមមូល ដូចជា​៖ កម្រិតបរិញ្ញា អនុបណ្ឌិត  ឬបណ្ឌិត ក្នុងប្រទេស ឬក្រៅប្រទេស។ គាត់ ត្រូវបង្រៀនមុខវិជ្ជាឯកទេសរបស់ខ្លួន តាមម៉ោងកំណត់របស់សាលា ។ គាត់ត្រូវមានភារកិច្ចធ្វើកិច្ចតែងការបង្រៀន ផលិតសម្ភារឧបទ្ទេស ស្រាវជ្រាវ និងបង្រៀនសិស្សប្រកបដោយក្រមសីលធម៌ និងវិជ្ជាជីវៈខ្ពស់ ។ ,"សាលាគរុកោសល្យ និងវិក្រឹតការខេត្ត , មជ្ឈមណ្ឌលគរុកោសល្យ ភូមិភាគខេត្ត",សាកលវិទ្យាល័យនានា អង្គការក្រៅរដ្ឋាភិបាល ក្រុមហ៊ុនឯកជន ឬស្ថាប័នរដ្ឋ
car_soc_0007,បុគ្គលិករដ្ឋបាលផ្នែកអប់រំ,បុគ្គលិករដ្ឋបាលផ្នែកអប់រំ មានសញ្ញាបត្រ គ្រូបង្រៀន ឬ សញ្ញាបត្រផ្នែករដ្ឋបាលសាធារណៈ ឬ សញ្ញាបត្រផ្នែកទំនាក់ទំនង អន្តរជាតិ ។ គាត់ មានសញ្ញាបត្រមួយក្នុងចំណោមសញ្ញាបត្រទាំងនោះ ពិតជាល្អ និង មានតួនាទី ទំនាក់ទំនង  រៀបចំកិច្ចការរដ្ឋបាល ដូចជា៖ ទុកដាក់ឯកសារ  រៀបចំដំណើរការចំណូលចំណាយចំពោះសម្ភារក្នុងការិយាល័យ និងយានយន្តជាដើម ។ ជាងនេះ ទៀតគាត់់ត្រូវមានចំណេះដឹង ផ្នែកពន្ធ ។  អាជីពនេះ ត្រូវធានាថា បុគ្គលិកក្នុង ស្ថាប័ន ទទួលបានភាពកក់ក្តៅ និង ទទួលយកបាន ពីការរៀបចំសេវារដ្ឋបាល ។ ,uni_gov_0001,"សាកលវិទ្យាល័យនានា 
អង្គការក្រៅរដ្ឋាភិបាល 
ក្រុមហ៊ុនឯកជន ឬស្ថាប័នរដ្ឋ"
,,,uni_gov_0011,
,,,uni_pri_0041,
,,,uni_gov_0004,
,,,uni_gov_0003,
,,,វិទ្យាស្ថានអប់រំ (NIE),
car_soc_0008,មន្រ្ដីអប់រំថ្នាក់ជាតិ,មន្រ្តីអប់រំថ្នាក់ជាតិត្រូវមានសញ្ញាបត្រកម្រិតអនុបណ្ឌិត ឬបណ្ឌិត ។ គាត់ធ្វើការនៅនាយកដ្ឋាននានា នៅក្នុងក្រសួងអប់រំយុវជន និងកីឡានៃរាជធានីភ្នំពេញ ។ គាត់ មានតួនាទី សរសេរសៀវភៅ ចងក្រងឯកសារ បង្កើតគោលនយោបាយ ដើម្បីធានាគុណភាពអប់រំ និងបណ្តុះបណ្តាល ចំណេះដឹងផ្នែកគ្រប់គ្រង និងបច្ចេកទេស ដល់ មន្រ្តីថ្នាក់ក្រោមជាតិ។ មន្រ្តីអប់រំថ្នាក់ជាតិត្រូវមានកាយសម្បទាល្អ  ចរឹកលក្ខណៈថ្លៃថ្នូរ  រស់រាយ និងចំណេះដឹងខ្ពស់។ ចំណែកចំណេះដឹងផ្នែកភាសាអង់គ្លេស និងកុំព្យុទ័រគឺត្រូវការជាចំាបាច់។ ,uni_pri_0041,ស្ថាប័នរដ្ឋ; អង្គការក្រៅរដ្ឋាភិបាល
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0009,មន្រ្ដីអប់រំថ្នាក់ក្រោមជាតិ,មន្រ្តីអប់រំថ្នាក់ក្រោមជាតិត្រូវមានសញ្ញាបត្រចាប់ពីថ្នាក់បរិញ្ញាបត្រឡើងទៅ ។ គាត់ធ្វើការនៅតាមការិយាល័យជំនាញនានា នៅក្នុងមន្ទីរ/ការីយាល័យអប់រំ ថ្នាក់ខេត្តឬស្រុក ។ គាត់មានតួនាទី ជួយសរសេរសៀវភៅ ចងក្រងឯកសារ  ដើម្បីធានាគុណភាពអប់រំ ។ គាត់/នាង ធ្វើការភាគច្រើនជាមួយសាលារៀនពាក់ព័ន្ធការងារអប់រំ ។ មន្រ្តីអប់រំថ្នាក់ក្រោមជាតិត្រូវមានកាយសម្បទាល្អ  ចរឹកលក្ខណៈថ្លៃថ្នូរ  រស់រាយ និងចំណេះដឹងខ្ពស់។ ចំណែកចំណេះដឹងផ្នែកភាសាអង់គ្លេស និងកុំព្យុទ័រគឺត្រូវការជាចំាបាច់។ ,uni_pri_0041,
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0010,នាយកប្រតិបតិ្តអង្គការក្រៅរដ្ឋាភិបាល,នាយកប្រតិបតិ្តអង្គការក្រៅរដ្ឋាភិបាលគឺជាមនុស្សដែលមានចំណេះដឹងផ្នែកគ្រប់គ្រងទូទៅ ដូចជា៖ ការងាររដ្ឋបាល ធនធានមនុស្ស  គណេនយ្យ និង ការអនុវត្តកម្មវិធីជាដើម។ គាត់ ជាអ្នកមានគំនិត ផ្តួចផ្តើម/ច្នៃប្រឌិត ឬបង្កើតថ្មី​ ដើម្បីធ្វើឲ្យអង្គភាពមួយទទួលបានភាពជោគជ័យ មានកិត្តយស និងមានឈ្មោះបោះសម្លេង ។ គាត់ មានទំនាក់ទំនងល្អ ជាមួយដៃគូរអភិវឌ្ឍជាតិ និងអន្តរជាតិ  និងជាងនេះទៀត អាចសរសេរសំណើសុំថវិកាពីម្ចាស់ជំនួយថែមទៀត។ គាត់ត្រូវមាន សញ្ញាបត្រផ្នែកគ្រប់គ្រង កម្រិតអនុបណ្ឌិត/បណ្ឌិត ក្នុងឬក្រៅប្រទេសពិតជាល្អ ។ ចំណែកភាសាអង់គ្លេស និងកុំព្យុទ័រគឺត្រូវការជាចំាបាច់។ ,uni_pri_0041,អង្គការក្រៅរដ្ឋាភិបាល
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0011,នាយកប្រតិបតិ្តក្រុមហ៊ុន,នាយកប្រតិបតិ្តក្រុមហ៊ុន គឺជាមនុស្សដែលមានចំណេះដឹងផ្នែកគ្រប់គ្រងទូទៅ ដូចជា៖ ការងាររដ្ឋបាល ធនធានមនុស្ស  គណេនយ្យ និង ការអនុវត្តកម្មវិធីជាដើម។ គាត់ ជាអ្នកមានគំនិត ផ្តួចផ្តើម/ច្នៃប្រឌិត ឬបង្កើតថ្មី​ ដើម្បីធ្វើឲ្យអង្គភាពមួយទទួលបានភាពជោគជ័យ មានកិត្តយស និងមានឈ្មោះបោះសម្លេង ។ គាត់មានទំនាក់ទំនងល្អ ជាមួយដៃគូរអភិវឌ្ឍជាតិ និងអន្តរជាតិ ។គាត់ត្រូវមាន សញ្ញាបត្រផ្នែកគ្រប់គ្រង កម្រិតអនុបណ្ឌិត/បណ្ឌិត នៅក្នុងឬក្រៅប្រទេសពិតជាល្អ ។ ចំណែកចំណេះដឹងផ្នែកភាសាអង់គ្លេស និងកុំព្យូទ័រគឺត្រូវការជាចំាបាច់។ ,uni_pri_0041,ក្រុមហ៊ុនឯកជន រោងចក្រ និងសហគ្រាស
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0012,នាយក/ប្រធានគម្រោង,នាយក/ប្រធានគម្រោង គឺជាមនុស្សដែលមានចំណេះដឹងផ្នែកគ្រប់គ្រងទូទៅ ដូចជា គ្រប់គ្រងបុគ្គលិក  និងគ្រប់គ្រងកម្មវិធីជាដើម។ គាត់មានចំណេះដឹងធ្វើគម្រោង រៀបចំនិងតាមដានថវិកា បណ្តុះបណ្តាល និងសរសេររបាយការណ៍ជាដើម ។ គាត់មានទំនាក់ទំនងល្អ ជាមួយដៃគូរអភិវឌ្ឍនានា ដើម្បីធ្វើឲ្យគម្រោងទទួលបានជោគជ័យ ជាតិ និងអន្តរជាតិ ។គាត់ត្រូវសិក្សាផ្នែកគ្រប់គ្រង ឬទំនាក់ទំនងការបរទេស និងមានសញ្ញាបត្រកម្រិតបរិញ្ញា ឬអនុបណ្ឌិតពិតជាល្អ ។ ចំណែកចំណេះដឹងផ្នែកភាសាអង់គ្លេស និងកុំព្យុទ័រគឺត្រូវការជាចំាបាច់។ ,uni_pri_0036,រដ្ឋាភិបាល ក្រុមហ៊ុនឯកជន អង្គការមិនមែនរដ្ឋាភិបាល  គ្រប់គ្រងអាជីវកម្មខ្លួនឯង
,,,uni_pri_0051,
,,,uni_pri_0053,
,,,uni_pri_0037,
car_soc_0013,ប្រធានគ្រប់គ្រងរដ្ឋបាល និងធនធានមនុស្ស,"ប្រធានគ្រប់គ្រងរដ្ឋបាល និងធនធានមនុស្ស គ្រប់គ្រងទិន្នន័យបុគ្គលិក រៀបចំកិច្ចសន្យាបំរើការងារបុគ្គលិក ធ្វើការណែនាំបុគ្គលិកថ្មីអំពីព័ត៌មានក្រុមហ៊ុន និងគោលការណ៍ផ្សេងៗ ហការក្នុងការរៀបចំកម្មវិធីបណ្តុះបណ្តាលបុគ្គលិក ធ្វើការផ្សព្វផ្សាយជ្រើសរើសបុគ្គលិក គ្រប់គ្រង និងរៀបចំរបបឧបត្ថម្ភផ្សេងៗរបស់បុគ្គលិក រៀបចំរបាយការណ៍ការងារ ។ គាត់មានអាកប្បកិរិយាល្អ ស្មោះត្រង់ និងស្រលាញ់ការងារ
រួសរាយរាក់ទាក់ និងមានគំនិតច្នៃប្រឌិតខ្ពស់លើការងារ មានជំនាញក្នុងការប្រាស្រ័យទាក់ទងល្អ អត់ធ្មត់ សកម្ម និងការទទួលខុសត្រូវលើការងារ អាចនិយាយភាសាអង់គ្លេស និងប្រើប្រាស់កុំព្យូទ័របាន ។ គាត់ត្រូវសិក្សាផ្នែកគ្រប់គ្រង ឬទំនាក់ទំនងការបរទេស ឬរដ្ឋបាលសាធារណៈ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញា ឬអនុបណ្ឌិតពិតជាល្អ ។

",uni_gov_0004,
,,,uni_pri_0051,
,,,uni_pri_0053,
,,,uni_pri_0037,
car_soc_0014,ជំនួយការផ្នែករដ្ឋបាល និងធនធានមនុស្ស,"ជំនួយការផ្នែករដ្ឋបាល និងធនធានមនុស្ស អនុវត្តការងារទៅតាមប្រធាន ដូចជា ៖  គ្រប់គ្រងទិន្នន័យបុគ្គលិក រៀបចំកិច្ចសន្យាបំរើការងារបុគ្គលិក រៀបចំឯកសារបណ្តុះបណ្តាលបុគ្គលិក និងរៀបចំការឧបត្ថម្ភផ្សេងៗរបស់បុគ្គលិក ។ គាត់មានអាកប្បកិរិយាល្អ ស្មោះត្រង់ និងស្រលាញ់ការងារ រួសរាយរាក់ទាក់ មានប្រាស្រ័យទាក់ទងល្អ  អត់ធ្មត់ និងការទទួលខុសត្រូវលើការងារ អាចនិយាយភាសាអង់គ្លេស និងប្រើប្រាស់កុំព្យូទ័របាន ។ គាត់ត្រូវសិក្សាផ្នែកគ្រប់គ្រង ឬអក្សរសាស្រ្តអង់គ្លេស  ឬរដ្ឋបាលសាធារណៈ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។

",uni_gov_0004,
,,,uni_gov_0003,
,,,uni_gov_0011,
,,,uni_pri_0051,
,,,uni_pri_0034,
car_soc_0015,លេខាធិការ,លេខាធិការ  ជាជំនួយការរបស់ប្រធាន មានតួនាទី រៀបចំឯកសារ ​រៀបចំកាលវិភាគប្រជុំ  ផ្តល់ព័ត៌មានពីកិច្ចប្រជុំ  រៀចំសម្ភារសម្រាប់ប្រជុំ កត់ត្រាកំណត់ហេតុប្រជុំ និងធ្វើរបាយការណ៍ ។ គាត់មានអាកប្បកិរិយាល្អ ស្មោះត្រង់ និងស្រលាញ់ការងារ រួសរាយរាក់ទាក់ មានប្រាស្រ័យទាក់ទងល្អ អត់ធ្មត់ សកម្ម ពូកែកត់ត្រា និងទទួលខុសត្រូវលើការងារ អាចនិយាយភាសាអង់គ្លេស និងប្រើប្រាស់កុំព្យូទ័របាន។ គាត់ត្រូវសិក្សាផ្នែកគ្រប់គ្រង ឬអក្សរសាស្រ្តអង់គ្លេស  ឬរដ្ឋបាលសាធារណៈ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។,uni_gov_0004,ការិយាល័យ ក្រុមហ៊ុនឯកជន លេខារដ្ឋបាលនៅតាមស្ថាប័នរដ្ឋ
,,,uni_gov_0003,
,,,uni_gov_0011,
,,,uni_pri_0051,
,,,uni_pri_0034,
car_soc_0016,អ្នកត្រួតពិនិត្យតាមដាន និងវាយតម្លៃ,អ្នកត្រួតពិនិត្យតាមដាន និងវាយតំលៃមានតួនាទី បង្កើត និងអនុវត្តឧបករណ៍តាមដាន និងវាយតម្លៃ  ដើម្បីធានាថា ការអនុវត្តគម្រោង ឬសកម្មភាព សម្រេចបានតាមការកំណត់ក្នុងអាំងឌីកាទ័រ ។ អ្នកត្រួតពិនិត្យតាមដាន និងវាយតម្លៃជួយប្រធានគម្រោង ក្នុងរៀបចំរបាយការណ៍ប្រចាំត្រីមាស ឬប្រចាំឆ្នាំ និងបង្កើតប្រព័ន្ធតាមដានព័ត៌មាន ។មួយវិញទៀត គាត់មានតួនាទី ប្រមូល និងវិភាគទិន្ន័យទាក់ទងទៅនឹងគម្រោង។ គាត់ធ្វើការយ៉ាងជិតស្និទ្ធជាមួយក្រុមការងារគ្រប់ផ្នែកទាំងអស់។ គាត់ត្រូវសិក្សាផ្នែកគ្រប់គ្រងគម្រោង  ឬការគ្រប់គ្រងជំនាញតាមដាន និងវាយតម្លៃ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។,uni_gov_0004,
,,,uni_gov_0003,
,,,uni_gov_0011,
,,,uni_pri_0051,
,,,uni_pri_0034,
car_soc_0017,អ្នកនិពន្ធអត្ថបទ,អ្នកនិពន្ធអត្ថបទ មានតួនាទី សរសេរសាច់រឿង ដែលអាចជារឿង ខ្លី ឬរឿងភាគ ក្នុងនោះអត្ថបទមានលក្ខណៈបែប ប្រលោមលោក  ច្បាប់  អប់រំ   មនោសញ្ជេតនា  វប្បធមន៌ ឬបណ្ថុះបណ្តុំគំនិតជាដើម ដែលឆ្លុះបញ្ចាំងពីតថភាពសង្គមជាក់ស្តែង ។ អ្នកនិពន្ធអត្ថបទ ចូលចិត្តអានសៀវភៅ  ស្រាវជ្រាវ   មានគំនិតច្នៃប្រឌិត  មានសិល្បៈតែងនិពន្ធ  និងចូលចិត្តសង្កេត ។ អាជីពនេះត្រូវសិក្សាផ្នែកអក្សរសាស្រ្តខ្មែរ  ឬទស្សនៈវិទ្យារយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ ចំណែកចំណេះដឹងផ្នែកភាសាអង់គ្លេស និងកុំព្យូទ័រគឺត្រូវការជាចំាបាច់។,uni_gov_0001,ការិយាល័យ ក្រុមហ៊ុនឯកជន លេខារដ្ឋបាលនៅតាមស្ថាប័នរដ្ឋ
,,,uni_gov_0006,
,,,uni_pri_0036,
car_soc_0018,អ្នកនិពន្ធតន្រ្តី ឬចម្រៀង,អ្នកនិពន្ធតន្រ្តី ឬចម្រៀង​ មានតួនាទី សរសេរអត្ថបទភ្លេង និងតែងបទចម្រៀង ប្រកបដោយភាពទាក់ទាញ ពេញនិយម និង មានអត្ថន័យ។ អ្នកនិពន្ធតន្រ្តី ឬចម្រៀង ចូលចិត្តអានសៀវភៅ  ស្រមើស្រមៃ   មានគំនិតច្នៃប្រឌិត ​មានការតាំងចិត្តខ្ពស់ និងមានសិល្បៈតែងនិពន្ធ។ អាជីពនេះត្រូវសិក្សាផ្នែកអក្សរសាស្រ្តខ្មែរ  ឬទស្សនៈវិទ្យារយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ ចំណែកចំណេះដឹងផ្នែកភាសាអង់គ្លេស និងកុំព្យុទ័រគឺត្រូវការជាចំាបាច់,uni_gov_0006,"ផលិតកម្ម ក្រុមហ៊ុនឯកជន
ក្រសួងរប្បធម៌ និងវិចិត្រសិល្បៈ 
ស្ថាប័នឯកជន "
car_soc_0019,តន្រី្តករ,តន្រ្តីករ គឺជាអ្នកលេងភ្លេង បែបសម័យ ឬបុរាណក៏បាន ។ គាត់ឬនាង ចូលចិត្តស្តាប់តន្រ្តី  និងប្រើឧបករណ៍តន្រ្តីផ្សេងៗ ពិសេសគឺចូលចិត្តសម្តែងស្នាដៃរបស់ខ្លួននៅតាមទីសាធារណៈ ឬនៅតាមទីកន្លែង នានាទាំងក្នុង ឬក្រៅប្រទេស។ អាជីពនេះត្រូវសិក្សាផ្នែកតូរ្យតន្រ្តី វិទ្យារយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។,uni_gov_0006,"ក្រុមហ៊ុនឯកជន
ក្រសួងរប្បធម៌ និងវិចិត្រសិល្បៈ 
ស្ថាប័នឯកជន "
car_soc_0020,តារាសម្ដែង,តារាសម្តែង គឺតួអង្គសម្តែងក្នុងខ្សែភាពយន្តរឿងភាគ ឬរឿងខ្លី ។ គាត់មានទេពកោសល្យក្នុងការសម្តែង និងរស់រាយ រាក់ទាក់។ អាជីពនេះត្រូវសិក្សាផ្នែកសម្តែងរយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ ចំពោះចំណេះដឹងផ្នែកភាសាអង់គ្លេសគឺពិតជាចាំបាច់។,uni_gov_0006,"ក្រុមហ៊ុនឯកជន
ក្រសួងរប្បធម៌ និងវិចិត្រសិល្បៈ 
ស្ថាប័នឯកជន "
car_soc_0021,អ្នករបាំ,អ្នករបាំ គឺអ្នករាំរបាំ ដែលបង្ហាញពីវប្បធម៌ តំណាងប្រទេស ។ គាត់/នាង តែងតែសម្តែងតាមកញ្ចក់ទូរទស្សន៍  ឬនៅតាមកម្មវិធីនានា ដូចជា កម្មវិធី បុណ្យជាតិធំៗ  កម្មវិធីសម្ផោធ  ឬកម្មវិធីទទួលគាវរកិច្ចភ្ញៀវជាតិ ឬអន្តរជាតិ ។ គាត់/នាង ត្រូវមានសម្បទាមាំមួន ទន់ភ្លន់  រូបសម្បត្តិស្រស់ស្អាត និងទេពកោសល្យសម្តែង។ អាជីពនេះត្រូវសិក្សាផ្នែកសម្តែងរបាំរយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ ចំពោះចំណេះដឹងផ្នែកភាសាអង់គ្លេសគឺពិតជាចាំបាច់។,uni_gov_0006,"ក្រសួងរប្បធម៌ និងវិចិត្រសិល្បៈ 
ស្ថាប័នឯកជន "
