code,name,description,school_code,places_for_work
car_soc_0022,អ្នកច្នៃម៉ូតសម្លៀកបំពាក់,អ្នកច្នៃម៉ូតសម្លៀកបំពាក់ គឺអ្នកគូរ និងរចនាម៉ូតសម្លៀកបំពាក់ ទៅតាមតម្រូវការរបស់អតិថិជន ។ សម្លៀកបំពាក់ដែលច្នៃគឺមើលទៅមានភាពទាក់ទាញ និង ស្រស់ស្អាត ។ គាត់/នាង ត្រូវមានគំនិតច្នៃប្រឌិត និង មានទេពកោសល្យក្នុងការច្នៃម៉ូត។ អាជីពនេះត្រូវសិក្សាផ្នែកច្នៃម៉ូតសម្លៀកបំពាក់រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ ចំពោះចំណេះដឹងផ្នែកភាសាអង់គ្លេសគឺពិតជាចាំបាច់។,uni_gov_0006,ក្រុមហ៊ុនឯកជន; បើកអាជីវកម្មខ្លួនឯង
car_soc_0023,ពិធីករវិទ្យុ ឬទូរទស្សន៍,ពិធីករវិទ្យុ ឬទូរទស្សន៍ មានសិល្បៈក្នុង និយាយជាសាធារណៈ មានសម្លេងពិរោះ និង ទាក់ទាញ និងអាចនិយាយបានច្រើនភាសាគឺពិតជាល្អ ។ អាជីពនេះត្រូវសិក្សាផ្នែកទំនាក់ទំនង ឬសារពត៌មានរយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ ,uni_gov_0006,"ក្រសួងព័ត៌មាន និង តាមស្ថានី
ទូរទស្សន៍ឯកជន "
,,,uni_pri_0046,
,,,uni_pri_0061,
,,,uni_gov_0001,
,,,uni_pri_0033,
,,,uni_pri_0036,
car_soc_0024,អ្នកសារព័ត៌មាន,អ្នកសារព័ត៌មានគឺជាអ្នកយកព័ត៌មានថ្មីៗ ដែលកើតមាននៅក្នុងស្រុកឬក្រៅស្រុកដើម្បីផ្សព្វផ្សាយដល់់សាធារណៈជន។ គេអាចធ្វើការនៅកន្លែងជាច្រើនដែលទាក់ទងនឹងការផ្សាយព័ត៌មានដូចជា កាសែត ទស្សនាវដ្តី វិទ្យុ ទូរទស្សន៍ និង អ៊ីនធឺណែត។  អាជីពនេះត្រូវសិក្សាផ្នែកទំនាក់ទំនង ឬសារពត៌មានរយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ និងអាចនិយាយបានច្រើនភាសាគឺពិតជាល្អ។,uni_pri_0041,
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0025,អ្នកទំនាក់ទំនងអតិថិជន,អ្នកទំនាក់ទំនងអតិថិជនត្រូវមានរូបសម្បត្តិសមរម្យ ពូកែទាក់ទង និងចេះ អត់ធ្មត់គ្រប់បញ្ហាដែលកើតមានឡើង។ គាត់ជាមនុស្សដែលតែងតែរស់រាយរាក់ទាក់ទៅកាន់មនុស្សទូទៅ ជាពិសេសអតិថិជនរបស់ខ្លួន។ អាជីពនេះត្រូវសិក្សាផ្នែកទំនាក់ទំនង រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យុទ័រ។,uni_pri_0041,
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0026,អ្នកទទួលភ្ញៀវ និងផ្តល់ព័ត៌មាន,អ្នកទទួលភ្ញៀវ និងផ្តល់ព័ត៌មាន គឺធ្វើការទំនាក់ទំនង និងផ្តល់ព័ត៌មាន ទាក់ទងទៅនឹងស្ថាប័នរបស់ខ្លួន ទៅដល់អតិថិជន ប្រកបដោយភាពជឿជាក់ និងទំនុកចិត្ត ។ អាជីពនេះត្រូវសិក្សាផ្នែកទំនាក់ទំនង រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងចំណេះដឹងផ្នែកកុំព្យុទ័រ។,uni_pri_0041,ក្រុមហ៊ុន ធនាគារ ទីភ្នាក់ងារទេសចរណ៍ សណ្ឋាគារ ភោជនីយដ្ឋាន
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0027,ភ្នាក់ងារជ្រើសរើសបុគ្គលិក,ភ្នាក់ងារជ្រើសរើសបុគ្គលិក មានតួនាទី ទទួលពាក្យសុំការងាររបស់បេក្ខជន និងបញ្ជូនពាក្យទាំងនោះទៅតាមស្ថាប័នដែលត្រូវការជ្រើសរើសបុគ្គលិក ។ ករណីបេក្ខជនដែលបានជាប់សម្ភាសន៍ គឺភ្នាក់ងារជ្រើសរើស បុគ្គលិកត្រូវធ្វើការតម្រង់ទិសបេក្ខជនពីរបៀបសម្ភាសន៍ ដើម្បីធ្វើឲ្យបេក្ខជន មានភាពកក់ក្តៅនៅពេលដែលត្រូវសម្ភាស។ អាជីពនេះត្រូវសិក្សាផ្នែករដ្ឋបាល និងធនធានមនុស្ស រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងចំណេះដឹងផ្នែកកុំព្យុទ័រ។,uni_pri_0041,
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0028,អ្នកគ្រប់គ្រងទីផ្សារ និងលក់,អ្នកគ្រប់គ្រងទីផ្សារនិងផ្នែកលក់គឺត្រូវគ្រប់គ្រងយុទ្ធសាស្រ្តទីផ្សារ ការផ្សព្វផ្សាយ ការលើកកម្ពស់និងការលក់ផលិតផលអចលនទ្រព្យ បដិសណ្ឋារកិច្ច។គាត់ជាមនុស្សដែលរួសរាយ រាក់ទាក់ រហ័សរហួន និងចេះបត់បែន។ អាជីពនេះត្រូវសិក្សាផ្នែកទីផ្សារ និងគ្រប់គ្រង រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យុទ័រ។,uni_pri_0041,
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0029,អ្នកគ្រប់គ្រងផ្នែកផ្សព្វផ្សាយ,អ្នកគ្រប់គ្រងការផ្សាយពាណិជ្ជកម្មគឺជាអ្នកដែលមានផែនការនិងដឹកនាំយុទ្ធនាការផ្សព្វផ្សាយនិងផ្សព្វផ្សាយពាណិជ្ជកម្មរបស់ក្រុមហ៊ុនដើម្បីបង្កើតចំណាប់អារម្មណ៍នៅក្នុងផលិតផលឬសេវាកម្មមួយ។ គាត់ជាមនុស្សដែលច្នៃប្រឌិត និងបង្កើតអ្វីដែលថ្មីដើម្បីទាក់ទាញការចាប់អារម្មណ៍។ អាជីពនេះត្រូវសិក្សាផ្នែកទីផ្សារ និងគ្រប់គ្រង រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យុទ័រ។,uni_pri_0041,
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0030,មន្រី្តបំរើអតិថិជនក្នុងធនាគារ,មន្ត្រីផ្នែកសេវាកម្មអតិថិជនជាអ្នកទាក់ទាញអតិថិជន និងឆ្លើយសំនួរពីផលិតផលនិងសេវាកម្ម ដូចជាការបើកគណនីអតិថិជន បញ្ញើប្រាក់ ដកនិងដាក់ប្រាក់ក្នុងធនាគារ និងសេវាផ្សេងៗទៀត។ អាជីពនេះត្រូវសិក្សាផ្នែកទីផ្សារ ឬគណនេយ្យ រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យុទ័រ។,uni_pri_0041,ធនាគារ; មីក្រូហិរញ្ញវត្ថុ
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0031,បុគ្គលិកផ្នែកធានារ៉ាប់រង,បុគ្គលិកធានារ៉ាប់រង គឺជាអ្នកពូកែខាងច្បាប់  និងមានចំណេះដឹងខាងគណនាលេខ ។ គាត់អាចបកស្រាយគោលនយោបាយធានារ៉ាប់រងនិងសេវាផ្សេងៗដែលបានចែងក្នុងសេវាកម្មធានារ៉ាប់រង។ គាត់ជាមនុស្សម្នពូកែនិយាយ និង ផ្តល់ជម្រើសល្អដល់អតិថិជន។ អាជីពនេះត្រូវសិក្សាផ្នែកច្បាប់ ឬគណនេយ្យ រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យុទ័រ។,uni_pri_0041,ក្រុមហ៊ុនធានារ៉ាប់រង; ស្ថាប័នរដ្ឋ
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0032,មន្រ្តីផ្នែកឥណទាន,មន្រ្តីផ្នែកឥណទាន មានតួនាទីផ្សព្វផ្សាយ ផលិតផល សេវាកម្ម រៀបចំឯកសារឥណទាន ដើម្បីផ្តល់ឥណទានជូនអតិថិជន ត្រួតពិនិត្យ និងតាមដានការសងប្រាក់ត្រឡប់របស់អតិថិជននៅក្នុងធនាគារមួយ។ គាត់ជាមនុស្សស្មោះត្រង់ ម៉ឺងម៉ាត់ សុភាពរាបសារ និង​មានឆន្ទះក្នុងការងារ។ អាជីពនេះត្រូវសិក្សាផ្នែកគណនេយ្យ ឬការគ្រប់គ្រងរយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យុទ័រ។,uni_pri_0041,
,,,uni_gov_0004,
,,,uni_gov_0011,
,,,uni_pri_0037,
,,,uni_pri_0051,
,,,uni_pri_0033,
car_soc_0033,អ្នកប្រឹក្សាយោបល់ទូទៅ,អ្នកប្រឹក្សាយោបល់ទូទៅ ធ្វើការជាមួយនឹងអ្នកដែលមានវិបត្តិសង្គម រងគ្រោះផ្លូវចិត្ត  ផ្នែកស្មារតី និង អារម្មណ៍ ។  គាត់ផ្ដល់គំនិត ឬយោលប់ល្អដល់ដៃគូ រកដំណោះស្រាយដល់អ្នកមកទទួលសេវា ដើម្បីកាត់បន្ថយអារម្មណ៍តានតឹង និងមានអារម្មណ៍ថាមានអ្នកយល់ចិត្ត និងគាំទ្រដល់ខ្លួនជានិច្ច។ អាជីពនេះត្រូវសិក្សាផ្នែកចិត្តវិទ្យា សង្គមវិទ្យា និង សង្គមកិច្ច ទស្សនវិជ្ជា រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យុទ័រ។​,uni_gov_0001,"អង្គការក្រៅរដ្ឋាភិបាល 
ស្ថាប័នរដ្ឋ"
car_soc_0034,មន្រី្តអភិវឌ្ឍសហគមន៍,មន្រី្តអភិវឌ្ឍសហគមន៍ ធ្វើការនៅតាមសហគមន៍នានាតាមជំនាញជំនាញ និងចំណេះដឹងរបស់ខ្លួន ។​ ការងារអភិវឌ្ឍសហគមន៍មានដូចជា៖ ផ្នែកអប់រំ  ផ្នែកសុខភាព  ផ្នែកបរិស្ថាន   ផ្នែកកសិកម្ម   និងផ្នែកច្បាប់ជាដើម ។ គាត់ត្រូវមានជំនាញសម្របសម្រួល  ចេះវិភាគបញ្ហាក្នុងសហគមន៍ ឬសង្គម  និងបណ្តុះបណ្តាលចំណេះដឹងដល់សហគមន៍ ។ អាជីពនេះត្រូវសិក្សាផ្នែក អភិវឌ្ឍជនបទ  ឬផ្នែកអបរំ រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យុទ័រ។​,uni_gov_0001,"អង្គការក្រៅរដ្ឋាភិបាល
ក្រសួងអភិវឌ្ឍន៍ជនបទ
ក្រុមហ៊ុនឯកជន "
,,,uni_gov_0002,
,,,uni_gov_0020,
,,,uni_gov_0019,
car_soc_0035,បុគ្គលិក ឬមន្ត្រីផ្នែកសេវាសង្គមកិច្ច,មន្រី្តផ្នែកសេវាកម្មសង្គមកិច្ច ជាផ្នែកមួយជួយលើកកំពស់ការអភិវឌ្ឍន៍សហគមន៍ ការកសាងទំនាក់ទំនង និងសមត្ថភាពរបស់ប្រជាពលរដ្ឋ និង សហគមន៍។ គាត់ជួយសម្រួលការងារ និងតម្រូវការរបស់ ប្រជាជន ឬសហគមន៍ទទួលបានសេវាកម្មល្អ និងប្រកបដោយភាពកក់ក្តៅ ។ អាជីពនេះត្រូវសិក្សាផ្នែក អភិវឌ្ឍជនបទ  ឬផ្នែកអបរំ រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យុទ័រ។​,uni_gov_0001,"អង្គការក្រៅរដ្ឋាភិបាល
ក្រសួងអភិវឌ្ឍន៍ជនបទ
ក្រុមហ៊ុនឯកជន "
,,,uni_pri_0073,
,,,uni_pri_0057,
car_soc_0036,អ្នកភូមិសាស្ត្រ,អ្នកភូមិសាស្ត្រគឺជាអ្នកសិក្សាពីមនុស្ស  សហគមន៍ វប្បធម៌ ឬបរិស្ថាន ។  អាជីពនេះត្រូវសិក្សាមុខវិជ្ជា ភូមិវិទ្យា ឬសេដ្ឋកិច្ច រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យូទ័រ។​,uni_gov_0001,ក្រុមហ៊ុនរុករករ៉ែ​និងប្រេងឬឧស្ម័ន  ក្រុមហ៊ុនវិស្វកម្មស៊ីវិល ស្ថាប័នរដ្ឋាភិបាលទៅលើផ្នែកជីវសាស្រ្តអប់រំ វិស្វករភូមិសាស្ត្រ អ្នកគ្រប់គ្រងគំរោងដីធ្លី
,,,uni_pri_0033,
,,,uni_gov_0002,
car_soc_0037,មគ្គុទេសក៍ទេសចរណ៍,មគ្គុទេសក៍ទេសចរណ៍ធ្វើអត្ថាធិប្បាយសំរាប់ភ្ញៀវទេសចរ ក្នុងដំនើរទស្សនាកំសាន្តនៅសារមន្ទីរជាតិ ព្រះបរមរាជវាំង វត្តភ្នំ ប្រាសាទបុរាណ និងកន្លែងទេសចរណ៍ធម្មជាតិ ជាច្រើន ដែលមាននៅក្នុងស្រុកខ្មែរ។ មគ្គុទេសក៍ទេសចរត្រូវចាំយ៉ាងច្បាស់ពីប្រវត្តិសាស្រ្តខ្មែរ  ចេះរឿងនិទានផ្សេងៗ ដែលទាក់ទងនឹងប្រាសាទ ឬទីកន្លែងកំសាន្ត។ គេត្រូវចេះភាសាអង់គ្លេសជាចាំបាច់ បន្ទាប់មកគេអាចជ្រើសយកភាសាមួយទៀត ដូចជាភាសា បារាំង អេស្បាញ អាឡឺម៉ង អ៊ីតាលី ចិន ថៃ ជប៉ុន.។គេមានទឹកមុខញញឹមញញែមគ្រប់ពេលវេលា រួសរាយរាក់ទាក់ អត់ធ្មតិ ឆ្លាតឈ្លាសវៃ អាចដោះស្រាយបញ្ហាខ្លះៗ ដែលអាចកើតមានជាយថាហេតុក្នុងដំណើរកំសាន្ត។ អាជីពនេះត្រូវសិក្សាមុខវិជ្ជា សណ្ឋាគារ និងទេសចរណ៍  ឬភាសាបរទេស រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ ,uni_gov_0001,"ក្រុមហ៊ុនឯកជន 
ក្រសួង និងមន្ទីរ 
"
,,,uni_gov_0004,
,,,uni_pri_0034,
,,,uni_pri_0038,
,,,uni_pri_0037,
car_soc_0038,បុរាណវិទូ,បុរាណវិទូ គឺជាអ្នកចងក្រងឯកសារប្រវត្តិសាស្ត្របុរាណដែលបានបាត់បង់ ដោយសារពេលវេលា និងសង្គ្រាម និងសា្រវជ្រាវតាមទីកន្លែងកុលសម្ព័ន្ឋនានា ដើម្បីយល់ដឹងពីប្រពៃណី ទំនៀមទំលាប់ និង វប្បធម៌ជាដើម។ គេជាអ្នកចូលចិត្តស្រាវជ្រាវ តស៊ូ អត់ធ្មត់ ធ្វើការនៅក្រោមកម្ដៅថ្ងៃ ដោយមិនខ្លាចនឿយហត់។ គេត្រូវមានសុខភាពល្អ ទាំងកំលាំងកាយ និងប្រាជ្ញា។ ពេលខ្លះគេជាសាស្ត្រាចារ្យនៅមហាវិទ្យាល័យ។ អាជីពនេះត្រូវសិក្សាមុខវិជ្ជា ប្រវិត្តិវិទ្យា រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យូទ័រ។​,uni_gov_0006,"ក្រសួងវប្បធម៌ និងវិចិត្រសិល្បៈ 
"
,,,uni_pri_0046,
,,,uni_pri_0061,
car_soc_0039,អ្នកបំរើតាមយន្តហោះ,មាននារីច្រើនណាស់ដែលចង់ក្លាយជានារីអាកាសចរណ៍ ព្រោះនារីអាកាសចរណ៍តំណាងឱ្យនារីស្រស់ស្អាត មានរូបកាយសមសួនជួនកាលអាចធ្វើដំនើរទៅបរទេសបានញឹកញាប់ថែមទៀត។ តែការងារនេះក៏មានបុរសធ្វើដែរ។ នារីឬបុរសអាកាសចរណ៍ទទួលភ្ញៀវក្នុងយន្តហោះ ដោយទឹកមុខញញឹមនិងគួរសមជានិច្ច។ គេជាមនុស្សរហ័សរហួនណាស់ ហើយចេះនិយាយឱ្យអ្នកដំណើរស្ងប់ចិត្ត នៅពេលមានបញ្ហាបច្ចេកទេស។ គេត្រូវការសេរីភាពក្នុងការធ្វើដំណើរ ហើយចេះសម្របខ្លួនតាមពេលវេលាដែលខុសគ្នារវាងប្រទេសមួយទៅនិងប្រទេសមួយទៀត។​ អាជីពនេះត្រូវសិក្សាជំនាញ ទំនាក់ទំនងអន្តរជាតិ  ឬសណ្ឋាគារទេសចរណ៍ រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះនិយាយភាសាអង់គេ្លសយ៉ាងស្ទាត់ជំនាញ  និងមានចំណេះដឹងផ្នែកកុំព្យូទ័រ។​,uni_pri_0034,ក្រុមហ៊ុនឯកជន 
,,,uni_pri_0038,
,,,uni_pri_0037,
car_soc_0040,មន្រ្តីប្រៃសណីយ៍,មន្ត្រីប្រៃសណីយ៍គឺជាអ្នកបំរើសេវាអតិថិជនដែលជាផ្នែកមួយនៃប្រព័ន្ធប្រៃសណីយ៍។ គាត់ជាទទួល និងចែកចាយសំបុត្រនៅតាមគេហដ្ឋាន ឬតាមស្ថាប័ននានា ។  អាជីពនេះត្រូវសិក្សាជំនាញ រដ្ឋបាល និងទំនាក់ទំនង រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះនិយាយភាសាអង់គេ្លសយ៉ាងស្ទាត់ជំនាញ  និងមានចំណេះដឹងផ្នែកកុំព្យូទ័រ។​,uni_gov_0004,"ក្រសួងប្រៃសណីយ៍ 
សា្ថប័នឯកជន "
,,,uni_pri_0033,
,,,uni_pri_0034,
,,,uni_pri_0038,
car_soc_0041,មេធាវី,មេធាវីមានតួនាទីណែនាំកូនក្តីពីសិទ្ធិ និងករណីស្របច្បាប់របស់ពួកគេ។ មេធាវីមានតួនាទីជួយកូនក្តី តាមរាល់មធ្យោបាយសមស្រប និងចាត់ការតាមផ្លូវច្បាប់ ដើម្បីការពារផលប្រយោជន៍របស់កូនក្តី នៅមុខតុលាការ សាលាក្តី ឬអជ្ញាធររដ្ឋបាលជាដើម ។​ មេធាវីគឺជាមនុស្សមានសីល្បក្នុងការនិយាយ ប្រកែវិភាគ និងប្រមូលភស្តុតាង  មានចំណេះដឹងច្រើនផ្នែកច្បាប់ ។ អាជីពនេះត្រូវសិក្សាមុខវិជ្ជា ច្បាប់ រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យូទ័រ។​,uni_gov_0003,ស្ថាប័នរដ្ឋ ក្រសួងមហាផ្ទៃ តុលាការ ក្រុមហ៊ុនឯកជន
,,,uni_gov_0004,
,,,uni_pri_0034,
,,,uni_pri_0038,
,,,uni_pri_0051,
car_soc_0042,ចៅក្រម/តុលាការ,ចៅក្រម​គឺ​គេ​សំដៅ​លើ​តុលាការ​ ហើយ​គាត់​មាន​សិទ្ធិ​អំណាច​ក្នុង​ការ​កាត់​ក្តី​តាម​ផ្លូវ​ច្បាប់​លើ​ជន​ណា​ម្នាក់​ដែល​ល្មើសច្បាប់​ហើយ​ក៏​ជា​អ្នក​សម្រេច​ឲ្យ​ជន​ណា​ម្នាក់​រួច​ខ្លួន​បាន​ដែរ​ប្រសិន​បើ​រកឃើញ​ថា​ជន​នោះ​គ្មាន​កំហុស។,uni_gov_0004,ស្ថាប័នរដ្ឋ ក្រសួងមហាផ្ទៃ តុលាការ ក្រុមហ៊ុនឯកជន
,,,uni_gov_0003,
,,,uni_pri_0034,
,,,uni_pri_0038,
car_soc_0043,ក្រឡាបញ្ជី, ក្រឡាបញ្ជីមានតួនាទី និង​ភារកិច្ច​សំខាន់​របស់​ក្រឡា​បញ្ជី គឺជា​ជំនួយការ​របស់​ចៅ​ក្រម និង​ព្រះ​រាជអាជ្ញា ក្នុង​រឿង​ក្តី​ព្រហ្មទណ្ឌ និង​នៅ​ក្នុង​រឿង​រដ្ឋប្បវេណី។ ក្រឡា​បញ្ជី​មាន​ភារកិច្ច​សំខាន់​ខ្លាំង​ណាស់​ចាប់​តាំង​ពី​សំណុំ​រឿង​ព្រហ្មទណ្ឌ​បាន​ចូល​មក​ដល់។ ក្រឡា​បញ្ជី​ត្រូវ​មាន​វត្ដមាន​ជានិច្ច​នៅ​គ្រប់​ដំណាក់​កាល​នៃ​នីតិវិធី​ទាំង​បី គឺ ទី១ ទាំង​នៅ​ដំណាក់​កាល​អយ្យការ (ដំណាក់​កាល​ស៊ើប​អង្កេត​បឋម) ទី២.នៅ​ដំណាក់​កាល​ចៅ​ក្រម​ស៊ើប​សួរ និង ទី៣ នៅ​ដំណាក់​កាល​ចៅ​ក្រម​ជំនុំ​ជម្រះ។ អាជីពនេះត្រូវសិក្សាមុខវិជ្ជា ច្បាប់ រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យូទ័រ។​,uni_gov_0004,ស្ថាប័នរដ្ឋ ក្រសួងមហាផ្ទៃ តុលាការ ក្រុមហ៊ុនឯកជន
,,,uni_gov_0003,
,,,uni_pri_0034,
,,,uni_pri_0038,
car_soc_0044,ព្រះរាជអាជ្ញា,​​ព្រះរាជអជ្ញា មាន​តួនាទី​ចោទ​ប្រកាន់​​ទៅ​លើ​ជន​ណា​ម្នាក់​ដែល​ប្រព្រឹត្ត​ខុស​ឬ​ប្រឆាំង​​​នឹង​ច្បាប់​ទាក់ទង​រឿង​ព្រហ្មទណ្ឌ។ គាត់​ធ្វើ​ការ​ចោទប្រកាន់​ពី​បទល្មើស​​ព្រហ្មទណ្ឌ​ និង​សន្និដ្ឋាន​ឲ្យ​តុលាការ​អនុវត្ត​ច្បាប់។ គាត់ធានា​​ការ​អនុវត្ត​សេចក្តី​សម្រេច​ខាង​បទ​​ព្រហ្មទណ្ឌ​ព្រម​ទាំង​ធានា​យក​ចិត្ត​ទុក​ដាក់​លើ​ការ​ផ្សព្វផ្សាយ​ដីកា​បង្គាប់​ឲ្យ​ចាប់​ខ្លួន។ អាជីពនេះត្រូវសិក្សាមុខវិជ្ជា ច្បាប់ រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យូទ័រ។​,uni_gov_0004,ស្ថាប័នរដ្ឋ ក្រសួងមហាផ្ទៃ តុលាការ ក្រុមហ៊ុនឯកជន
,,,uni_gov_0003,
,,,uni_pri_0034,
,,,uni_pri_0038,
car_soc_0045,មន្ត្រីនគរបាល,មន្រ្តីនគរបាលជាកងកម្លាំងនគរបាលជាតិ ការពារសន្តិសុខ សណ្តាប់ធ្នាប់សង្គម និងប្រទេសជាតិ ។ អាជីពនេះត្រូវសិក្សាមុខវិជ្ជា ច្បាប់ឬ សន្តិសុខ  រយៈពេល ៤ឆ្នាំ និងមានសញ្ញាបត្រកម្រិតបរិញ្ញាពិតជាល្អ ។ បុគ្គលិកត្រូវចេះភាសាអង់គ្លេស និងមានចំណេះដឹងផ្នែកកុំព្យូទ័រ។​,សាលានគរបាលជាតិ ភូមិភាគ(ខេត្តក្រុង),ក្រសួងមហាផ្ទៃ និង ស្ថាប័នឯកជន 